ISO 639-2 Code,ISO 639-1 Code,English name of Language,French name of Language,German name of Language
tvl,,Tuvalu,tuvalu,Elliceanisch
twi,tw,Twi,twi,Twi-Sprache
tyv,,Tuvinian,touva,Tuwinisch
udm,,Udmurt,oudmourte,Udmurtisch
uga,,Ugaritic,ougaritique,Ugaritisch
uig,ug,Uighur; Uyghur,ou?gour,Uigurisch
ukr,uk,Ukrainian,ukrainien,Ukrainisch
umb,,Umbundu,umbundu,Mbundu-Sprache
und,,Undetermined,ind¨¦termin¨¦e,Nicht zu entscheiden
urd,ur,Urdu,ourdou,Urdu
uzb,uz,Uzbek,ouszbek,Usbekisch
vai,,Vai,va?,Vai-Sprache
ven,ve,Venda,venda,Venda-Sprache
vie,vi,Vietnamese,vietnamien,Vietnamesisch
vol,vo,Volap¨¹k,volap¨¹k,Volap¨¹k
vot,,Votic,vote,Wotisch
wak,,Wakashan languages,"wakashanes, langues",Wakash-Sprachen
wal,,Wolaitta; Wolaytta,wolaitta; wolaytta,Walamo-Sprache
war,,Waray,waray,Waray
was,,Washo,washo,Washo-Sprache
wel (B),cy,Welsh,gallois,Kymrisch
cym (T),,,,
wen,,Sorbian languages,"sorabes, langues",Sorbisch (Andere)
wln,wa,Walloon,wallon,Wallonisch
wol,wo,Wolof,wolof,Wolof-Sprache
xal,,Kalmyk; Oirat,kalmouk; o?rat,Kalm¨¹ckisch
xho,xh,Xhosa,xhosa,Xhosa-Sprache
yao,,Yao,yao,Yao-Sprache (Bantusprache)
yap,,Yapese,yapois,Yapesisch
yid,yi,Yiddish,yiddish,Jiddisch
yor,yo,Yoruba,yoruba,Yoruba-Sprache
ypk,,Yupik languages,"yupik, langues",Ypik-Sprachen
zap,,Zapotec,zapot¨¨que,Zapotekisch
zbl,,Blissymbols; Blissymbolics; Bliss,symboles Bliss; Bliss,Bliss-Symbol
zen,,Zenaga,zenaga,Zenaga
zgh,,Standard Moroccan Tamazight,amazighe standard marocain,
zha,za,Zhuang; Chuang,zhuang; chuang,Zhuang
chi (B),zh,Chinese,chinois,Chinesisch
zho (T),,,,
znd,,Zande languages,"zand¨¦, langues",Zande-Sprachen
zul,zu,Zulu,zoulou,Zulu-Sprache
zun,,Zuni,zuni,Zu?i-Sprache
zxx,,No linguistic content; Not applicable,pas de contenu linguistique; non applicable,Kein linguistischer Inhalt
zza,,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,zaza; dimili; dimli; kirdki; kirmanjki; zazaki,Zaza
